Land,Jaar,HydroEnergy,SolarEnergy,WindEnergy,Oppervlakte,BNPpp,RenewableEnergy,percentageGroen,BPNperLand,GrijzeEnergie,Populatie
Argentina,1993,67619.16144,0,0,2780400,6940.698758,137451.2902,10.12834173,236754000000,1357095.701,34110912
Argentina,1994,79952.8847,0,0,2780400,7449.480605,162501.3124,10.73779113,257440000000,1513358.85,34558114
Argentina,1995,79859.10285,0,0,2780400,7373.427403,173807.4257,11.20518632,258032000000,1551133.741,34994818
Argentina,1996,69515.90428,0,30.34039118,2780400,7683.573848,164464.0105,10.19412874,272150000000,1613320.909,35419683
Argentina,1997,88369.51968,0,47.31546654,2780400,8172.665235,188499.0617,10.99907112,292859000000,1713772.551,35833965
Argentina,1998,87871.9373,0,109.6944933,2780400,8248.76472,202663.7469,11.34301177,298948000000,1786683.74,36241578
Argentina,1999,67851.01252,0,111.0127823,2780400,7736.372578,184366.9868,10.3059307,283523000000,1788940.681,36648054
Argentina,2000,87940.18555,0,106.9683219,2780400,7669.273709,199198.8619,11.0782187,284204000000,1798112.741,37057453
Argentina,2001,112714.9839,0,149.1784623,2780400,7170.689698,226780.3199,13.04037404,268697000000,1739062.999,37471535
Argentina,2002,112857.076,0,229.8065983,2780400,2693.106019,220577.3375,13.28798041,102040000000,1659976.39,37889443
Argentina,2003,106516.5604,0,245.7129421,2780400,3382.900812,222456.7052,12.51812888,129597000000,1777076.329,38309475
Argentina,2004,93279.97558,0,220.6359475,2780400,4732.803709,156487.2976,8.348239312,183296000000,1874494.63,38728778
Argentina,2005,104777.3896,0,231.0994066,2780400,5694.419249,172818.7048,8.957204876,222911000000,1929382.069,39145491
Argentina,2006,122240.9631,0,225.4774022,2780400,6649.413534,210394.8338,10.18805751,263042000000,2065112.349,39558750
Argentina,2007,99407.92762,0,199.6866199,2780400,8250.244684,182159.1399,8.702235872,329761000000,2093245.26,39969903
Argentina,2008,96409.45596,0,133.122831,2780400,10054.11177,167682.725,7.609693377,406004000000,2203541.151,40381860
Argentina,2009,106398.9254,0,113.1034464,2780400,9277.425945,179426.1145,8.573267971,378506000000,2092855.549,40798641
Argentina,2010,108861.0675,0,81.02916863,2780400,11227.8385,195450.2153,8.960670111,462844000000,2181200.88,41222875
Argentina,2011,101751.0899,6.447287407,83.81473629,2780400,13439.94146,201464.3347,8.951076371,559849000000,2250727.47,41655616
Argentina,2012,93767.29071,25.61510417,1181.49668,2780400,14436.60009,200056.7928,8.772578263,607712000000,2280478.86,42095224
Armenia,1990,4874.411769,0,0,29740,636.68069,5502.301769,2.118943039,2256838858,259672,3544695
Armenia,1991,5051.241446,0,0,29740,589.0029482,5674.111446,2.309435975,2068526522,245692.5201,3511912
Armenia,1992,7593.380382,0,0,29740,368.9168368,8205.280382,6.677677512,1272577522,122876.26,3449497
Armenia,1993,9387.505487,0,0,29740,356.5073514,9984.375487,12.93683564,1201313196,77177.88001,3369673
Armenia,1994,7236.492365,0,0,29740,399.7512025,7819.382365,17.76366499,1315158670,44018.97001,3289943
Armenia,1995,3788.439349,0,0,29740,455.5502761,4359.309349,9.2743567,1468317350,47003.9,3223173
Armenia,1996,3108.838706,0,0,29740,503.2319696,3670.748706,12.47329986,1596968913,29428.85,3173425
Armenia,1997,3543.859065,0,0,29740,522.522072,4099.739065,10.12011131,1639492424,40510.81,3137652
Armenia,1998,3227.908541,0,0,29740,608.3366487,3778.808541,9.380564743,1893726437,40283.37999,3112958
Armenia,1999,2750.27322,0,0,29740,596.5059963,3298.15322,8.35878671,1845482181,39457.32,3093820
Armenia,2000,2736.596464,0,0,29740,621.4248263,3249.476464,7.164257391,1911563665,45356.78001,3076098
Armenia,2001,2111.277925,0,0,29740,692.3016309,2486.207925,5.419119271,2118467913,45878.45,3060036
Armenia,2002,3695.068849,0,0,29740,779.8296261,4105.998849,8.899355435,2376335048,46138.15999,3047249
Armenia,2003,4763.710518,0,0,29740,924.4640098,5263.610518,9.811607517,2807061009,53646.77,3036420
Armenia,2004,4739.988269,0,0,29740,1181.968445,5266.898269,8.707898298,3576615240,60484.15001,3025982
Armenia,2005,4206.110606,0,0,29740,1625.407769,4552.020606,6.491170944,4900469515,70126.34,3014917
Armenia,2006,5008.299487,0,0,29740,2126.618661,5571.169487,7.652829382,6384451606,72798.82,3002161
Armenia,2007,5391.447706,0,8.728733469,29740,3080.970959,5757.096439,7.017256823,9206301700,82041.98,2988117
Armenia,2008,5461.123487,0,6.078045061,29740,3919.975474,5824.121532,6.406198321,11662040714,90913.85,2975029
Armenia,2009,5753.210102,0,11.39813789,29740,2915.583906,6121.52824,7.802913253,8647936748,78451.83,2966108
Armenia,2010,6617.098493,0,18.12194423,29740,3124.784018,6992.140438,9.36341749,9260284938,74675.09,2963496
Armenia,2011,6210.592447,0,14.97129557,29740,3417.171836,6582.483743,8.019003157,10142111334,82086.06,2967984
Armenia,2012,5326.880667,0,9.176366351,29740,3343.437635,5692.977033,6.56787287,9957890702,86679.15999,2978339
Aruba,1990,0,0,0,180,0,5.31657,0.751653535,0,707.3165697,62148
Aruba,1991,0,0,0,180,0,5.31657,0.736656219,0,721.7165705,64623
Aruba,1992,0,0,0,180,0,5.93775,0.655425828,0,905.9377501,68235
Aruba,1993,0,0,0,180,0,5.672835,0.45467328,0,1247.672834,72498
Aruba,1994,0,0,0,180,17342.47194,5.31657,0.276606245,1330167598,1922.071571,76700
Aruba,1995,0,0,0,180,16441.38126,5.325705,0.219134361,1320670391,2430.337705,80326
Aruba,1996,0,0,0,180,16586.1923,5.234355,0.189816815,1379888268,2757.582356,83195
Aruba,1997,0,0,0,180,17927.41203,5.20695,0.18097968,1531843575,2877.090953,85447
Aruba,1998,0,0,0,180,19081.57029,5.40792,0.099369415,1665363128,5442.237936,87276
